ID,Domain,Category,Risk factor — full description (L3),Poster label,Source(s),X-ref,Status,Superseded by
AIRM-001,1. AI Governance & Accountability,Governance & oversight,Inadequate executive/board oversight of AI adoption and risk,Inadequate executive/board oversight of AI adoption and risk,NIST Govern; ISO A.2,,active,
AIRM-002,1. AI Governance & Accountability,Governance & oversight,Ungoverned ‘shadow AI’ adoption outside sanctioned channels,Ungoverned ‘shadow AI’ adoption outside sanctioned channels,NIST Govern; CRI GV-1.6.3; COSO GenAI 2026; Original,,active,
AIRM-003,1. AI Governance & Accountability,Governance & oversight,Absence of an AI governance body or charter with a clear mandate,Absence of an AI governance body or charter with a clear mandate,ISO A.3,,active,
AIRM-004,1. AI Governance & Accountability,Roles & accountability,Unclear ownership and accountability (RACI) for AI risk decisions,Unclear ownership and accountability (RACI) for AI risk decisions,NIST Govern; ISO A.3,,active,
AIRM-005,1. AI Governance & Accountability,Roles & accountability,"Diffusion of responsibility, as AI spans data science, security, legal, and business owners with no established convention for who decides",Diffusion of responsibility with no convention for who decides,Original,,active,
AIRM-006,1. AI Governance & Accountability,Roles & accountability,"Failure to define accountability for autonomous / agent-driven decisions — internally, and across the AI stack of model provider, platform, developer, and deployer, where the allocation shifts as autonomy increases","Accountability for agent decisions undefined, internally and across the AI stack",EU Art 14; EU Art 25 (amended 2026); CSA AICM; CoSAI AI SRF,→12,active,
AIRM-007,1. AI Governance & Accountability,Roles & accountability,"Segregation of duties collapses where the same person or agent configures the AI, operates it, and reviews its output","Segregation of duties collapses across AI config, operation, and review",COSO GenAI 2026; OWASP AISVS AC.8,→12,active,
AIRM-008,1. AI Governance & Accountability,Policy & standards,Absence of an AI acceptable-use policy and model-approval gates,Absence of an AI acceptable-use policy and model-approval gates,ISO A.2; NIST Govern,,active,
AIRM-009,1. AI Governance & Accountability,Policy & standards,AI policies not kept current with evolving capabilities and regulation,AI policies not kept current with evolving capabilities and regulation,ISO A.2; Original,,active,
AIRM-010,1. AI Governance & Accountability,Policy & standards,"Inconsistent standards across business units, as AI adoption proliferates independently faster than central standards can follow",Inconsistent standards as AI proliferates faster than governance,Databricks AIGF; Original,,active,
AIRM-011,1. AI Governance & Accountability,Policy & standards,"No agreed definition of what counts as ‘AI’, leaving policy scope, inventory boundaries, and regulatory classification undefined","No agreed definition of ‘AI’, leaving policy and inventory scope undefined",CRI FS-AI-RMF GV-1.2.2,,active,
AIRM-012,1. AI Governance & Accountability,Risk-management integration,AI risk not integrated into enterprise risk management (ERM),AI risk not integrated into enterprise risk management (ERM),NIST Govern; CRI MG-1.2.1; Original,,active,
AIRM-013,1. AI Governance & Accountability,Risk-management integration,Failure to conduct AI impact assessments for individuals and society,Failure to conduct AI impact assessments for individuals and society,EU Art 27 (amended 2026); ISO A.5,,active,
AIRM-014,1. AI Governance & Accountability,Risk-management integration,No defined risk appetite or tolerance thresholds for AI,No defined risk appetite or tolerance thresholds for AI,NIST Govern; CRI GV-2.3.2; Original,,active,
AIRM-015,1. AI Governance & Accountability,Audit & assurance,"Inability to audit AI due to a missing or incomplete inventory of models, agents, and connectors, and their lineage","Inability to audit AI: no complete inventory of models, agents, and connectors",ISO A.4; NIST Govern; CRI GV-1.6.1,,active,
AIRM-016,1. AI Governance & Accountability,Audit & assurance,Insufficient internal-audit competence to assess AI controls,Insufficient internal-audit competence to assess AI controls,Original,,active,
AIRM-017,1. AI Governance & Accountability,Audit & assurance,Absence of independent assurance over AI control effectiveness,Absence of independent assurance over AI control effectiveness,CRI GV-1.5.4; Original,,active,
AIRM-018,1. AI Governance & Accountability,Audit & assurance,AI output relied upon as evidence in financial-reporting or other regulated control chains without recognizing the expansion of assurance scope,AI output relied on in financial-reporting controls without scope change,COSO GenAI 2026 p.13,→8,active,
AIRM-019,1. AI Governance & Accountability,Audit & assurance,"No reliable way to identify which artifacts, code, or analyses were AI-generated, so a systemic model or prompt flaw cannot be scoped or remediated after the fact","No way to identify which artifacts AI produced, so a model flaw cannot be scoped",OWASP AISVS AC.9 / AC.10; COSO GenAI 2026 (AI bill of materials),,active,
AIRM-020,2. Strategy & Value Realization,AI strategy & roadmap,Lack of a coherent AI strategy aligned to objectives and risk appetite,Lack of a coherent AI strategy aligned to objectives and risk appetite,Databricks AIGF; Original,,active,
AIRM-021,2. Strategy & Value Realization,AI strategy & roadmap,AI adoption driven by hype rather than demonstrated business value,AI adoption driven by hype rather than demonstrated business value,Original,,active,
AIRM-022,2. Strategy & Value Realization,AI strategy & roadmap,Inability to adapt the roadmap as foundation-model capabilities shift,Inability to adapt the roadmap as foundation-model capabilities shift,Original,,active,
AIRM-023,2. Strategy & Value Realization,Use-case selection & sourcing,Selection of use cases without weighing incremental risk against benefit,Selection of use cases without weighing incremental risk against benefit,CRI MP-3.2.1; Original,,active,
AIRM-024,2. Strategy & Value Realization,Use-case selection & sourcing,"‘Pilot purgatory’ — pilots stalling on data readiness, evaluation difficulty, or inability to demonstrate value","‘Pilot purgatory’ — pilots stalling on data readiness, evaluation difficulty, or inability to demonstrate value",Original,,active,
AIRM-025,2. Strategy & Value Realization,Use-case selection & sourcing,"Misjudged AI sourcing fork — train, fine-tune, retrieval-augment, or call an API — each carrying a different risk and obligation profile","Misjudged AI sourcing fork: train, fine-tune, RAG, or API",Original,→8,active,
AIRM-026,2. Strategy & Value Realization,Use-case selection & sourcing,Failure to weigh the competitive risk of not adopting AI (inaction),Failure to weigh the competitive risk of not adopting AI (inaction),Databricks AIGF; Cloud Risk Map analog; Original,,active,
AIRM-027,2. Strategy & Value Realization,Value measurement / ROI,"Unrealistic ROI expectations, where AI benefits are diffuse and hard to attribute to the system itself","Unrealistic ROI expectations, where AI benefits are diffuse and hard to attribute to the system itself",Original,,active,
